indoor_air_quality,indoor_humidity,indoor_temp,ip_address,outdoor_humidity,outdoor_temp,outdoor_weather,datetime
,40.0,30.0,86.111.136.24,28.0,21.9,,2024-04-30 19:28:32
,43.0,30.0,86.111.136.24,28.0,21.9,,2024-04-30 19:27:09
,40.0,30.0,86.111.136.24,28.0,21.9,,2024-04-30 19:25:47
,40.0,30.0,86.111.136.24,28.0,21.64,,2024-04-30 19:24:24
,38.0,30.0,86.111.136.24,28.0,21.9,,2024-04-30 19:23:01
,40.0,30.0,86.111.136.24,28.0,21.64,,2024-04-30 19:16:59
,44.0,30.0,86.111.136.24,28.0,21.87,,2024-04-30 19:15:35
,39.0,30.0,86.111.136.24,28.0,21.87,,2024-04-30 19:14:13
,38.0,30.0,86.111.136.24,28.0,21.87,,2024-04-30 19:12:49
,42.0,30.0,86.111.136.24,28.0,21.64,,2024-04-30 19:09:15
,39.0,30.0,86.111.136.24,28.0,21.92,,2024-04-30 19:05:47
,45.0,31.0,86.111.136.24,28.0,21.92,,2024-04-30 19:01:55
,47.0,30.0,86.111.136.24,28.0,21.92,,2024-04-30 19:00:29
,48.0,29.0,86.111.136.24,28.0,21.92,,2024-04-30 18:59:06
,49.0,28.0,86.111.136.24,28.0,21.92,,2024-04-30 18:57:43
,45.0,27.0,86.111.136.24,28.0,21.92,,2024-04-30 18:56:20
,49.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:40:39
,49.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:39:17
,49.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:37:53
,49.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:36:30
,49.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:35:07
,49.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:31:25
,48.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:30:02
,48.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:28:38
,48.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:23:34
,48.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:22:10
,48.0,24.0,86.111.136.24,28.0,21.92,,2024-04-30 18:20:47
,48.0,25.0,86.111.136.24,28.0,21.92,,2024-04-30 18:16:58
,48.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:10:27
,48.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:09:05
,48.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:07:42
,48.0,24.0,86.111.136.24,28.0,21.9,,2024-04-30 18:06:19
,49.0,24.0,86.111.136.24,28.0,21.66,,2024-04-30 18:04:55
,49.0,24.0,86.111.136.24,28.0,21.66,,2024-04-30 18:03:32
,49.0,24.0,86.111.136.24,28.0,21.66,,2024-04-30 18:02:08
,49.0,24.0,86.111.136.24,28.0,21.66,,2024-04-30 18:00:44
,47.0,25.0,130.223.246.8,61.0,15.06,,2024-04-30 10:26:11
,47.0,24.0,86.111.136.24,47.0,14.95,,2024-04-29 23:13:06
